Timestamp,Username,VideoID,Comment,Date,source,comment_length,word_count,processed_comment
,@laskarunggas1616,,salam nkriprogram mbg harrus terus di evaluasi dan intervensi oleh bgn agar kebiasaan baru ini dapat beradaptasi dengan baik antar sektor kepentingan karena program mbg lahir sebagai kebijakan politik ya wajar banyak yang kritik terus berbenah semoga pelajar ibu hamil dan menyusui selaku penerima manfaat langsung terus dapat terlayani lebih baik dari waktu ke waktuamin,2026-01-08T21:15:09Z,BBC,371.0,55.0,salam nkriprogram harrus terus evaluasi intervensi bgn biasa baru adaptasi baik antar sektor penting program lahir atur politik wajar banyak kritik terus benah moga ajar ibu hamil susu selaku terima manfaat langsung terus layan lebih baik waktu waktuamin
,@lazuardi_nugraha,,percaya deh saya relawan tiap pagi liat anakanak nungguin makan sehat pada suka banget sama programnya,2026-02-14T18:39:33Z,BBC,102.0,16.0,percaya rawan tiap pagi lihat anakanak nungguin makan sehat suka sangat program
,@leanweb-id,,kalau uang mbg dibagi rata semua ke penduduk indonesia masing2 dapat 1100000 setahun kalau dikasih ke orang miskin saja bisa 10 kali lipatnya,2026-02-15T11:02:35Z,BBC,141.0,23.0,uang bagi rata semua duduk indonesia masing2 1100000 tahun beri orang miskin 10 kali lipat
,@lebdowidyatmo4396,,anda juga diuntungkan dengan mengangkat tema yang masih dipertanyakan kebenarannya berkaca dulu sebelum melontarkan pendapat itu baru masih punya rasa malu,2026-02-06T01:48:39Z,BBC,155.0,21.0,untung angkat tema tanya benar kaca dulu lontar dapat baru punya rasa malu
,@Lee-bq5nd,,yang diuntungkan mitra dan yayasan bukan umkm,2026-02-04T15:22:54Z,BBC,45.0,7.0,untung mitra yayasan bukan umkm
,@Lee-bq5nd,,pas awal ada pendaftaran sppi di hina ngapain ikutan yang kaya gitu programnya gajelas masa depan ga jelas mending jadi guru honorer lah sekarang malah pada iri,2026-03-30T02:43:21Z,BBC,160.0,27.0,daftar sppi hina ngapain ikut kaya program jelas masa depan jelas lebih baik guru honorer malah iri
,@LegimanLegiman-o3m,,hati2 progam mbg paling bertahsn 5 th,2026-01-13T06:36:48Z,BBC,37.0,7.0,hati2 progam paling bertahsn 5 th
,@LellyRumaisha,,pemilik yayasan jelas paling untung,2026-01-17T09:47:17Z,BBC,35.0,5.0,milik yayasan jelas paling untung
,@LembayungSenja-x3t,,anak kenyang belajar fokus kualitas meningkat simpel tapi efeknya besar ini bukan cuma program tapi fondasi buat indonesia yang lebih kuat ke depan,2026-02-15T04:10:33Z,BBC,147.0,23.0,anak kenyang ajar fokus kualitas tingkat simpel efek besar bukan program fondasi buat indonesia lebih kuat depan
,@lemonade_zee7369,,mendiskusikan secara mandiri tidak dengan masyarakat terdampak itu tidak sah mbak sama halnya kalian membunuh rakyat kecil pelan pelan turun lapangan sini,2026-02-17T05:02:57Z,BBC,154.0,22.0,diskusi mandiri masyarakat dampak sah mbak hal bunuh rakyat kecil pelan pelan turun lapang sini
,@Liariachel0804,,birokrasi komplek,2026-02-14T21:24:42Z,BBC,17.0,2.0,birokrasi kompleks
,@LingkungSeniSantriKalijaga,,guru honorer layak protes terhadap pengangkatan pppk untuk pegawai sppg mbg sebab dana mbg ngambil dari dana pendidikan supir mbg semacamnya digaji layak tu make dana bwt pendidikan sementara banyak guru yang digaji umr aja kagak kudunya kalo pemerintah mau mikir bener itu kagak usah mbg2an lihat aja hidangannya aja model bgtu kaya gitu dibilang bergizi mending stop mbg dananya pindahin buat ngangkat honorer2 itu jadi asn itu duit mbg sehari keluar trilyunan mubazir sangat pantes honorer protes sekatekate yang bilang siapa suruh jd honorer ada yang merasa janggal mbg itu di tahun 2026 ambil dari dana pendidikan 70 dari 70 dana pendidikan itu dipakai untuk menggaji tukang masak tukang cuci piring sopir mobil pengantar mbg artinya dari dana pendidikan itu sendiri sebenarnya bisa untuk menggaji guru honorer supaya dapat gaji layak tapi itu tidak dilakukan dulu tidak dilakukan sekarang dibajak untuk mbg,2026-02-01T09:34:05Z,BBC,912.0,143.0,guru honorer layak protes angkat pegawai perintah janji kerja pegawai sppg alas dana ambil dana didik supir macam gaji layak tu guna dana bwt didik banyak guru gaji umr kudu perintah pikir benar perlu mbg2an lihat hidang model kaya bilang gizi lebih baik stop dana pindahin buat ngangkat honorer2 asn uang hari keluar triliun mubazir sangat pantas honorer protes sekatekate bilang suruh honorer rasa janggal tahun 2026 ambil dana didik 70 70 dana didik pakai gaji tukang masak tukang cuci piring sopir mobil antar arti dana didik sendiri benar gaji guru honorer gaji layak laku dulu laku bajak
,@LingYanti,,kebijakan yang bikin kacau,2026-01-25T22:29:02Z,BBC,26.0,4.0,atur bikin beranta
,@lisabella5200,,jangan lupakan para petani saya sebagai petani merasakan semenjak ada mbg harga stabil bahkan bisa mahal jadi jangan lihat di satu sisi aja,2026-01-13T22:18:04Z,BBC,139.0,23.0,jangan lupa tani tani rasa semenjak harga stabil bahkan mahal jangan lihat satu sisi
,@LisaOnion,,yang jelas orang yang punya modal besar dan punya relasi sama pejabat daerah rakyat cuma menonton,2026-01-28T08:13:39Z,BBC,97.0,16.0,jelas orang punya modal besar punya relasi jabat daerah rakyat tonton
